case_id,dice,iou,precision,recall,tp,fp,fn,pred_area,ref_area,pred_components,ref_components
0001035,0.9667770751781591,0.9356906936079269,0.9872609599672006,0.9471259200988931,33712,435,1882,34147,35594,6,6
0008035,0.9751056125528063,0.9514205800088327,0.9773469634647955,0.9728745183044316,32315,749,901,33064,33216,6,6
0009035,0.9702907885000137,0.94229591972532,0.9790381903155333,0.9616983130959172,35403,758,1410,36161,36813,6,6
0016036,0.9653548708993389,0.9330299285692758,0.9794349352991426,0.9516738909895786,30957,650,1572,31607,32529,6,6
0019037,0.9584866391645297,0.920282614901513,0.9824761904761905,0.9356406907560586,25790,460,1774,26250,27564,6,6
0021037,0.9678337300373655,0.9376723093968204,0.9726840220238413,0.9630315700336076,36392,1022,1397,37414,37789,6,6
0023037,0.968458902185516,0.9388466482211717,0.9706293076264697,0.9662981814920286,43094,1304,1503,44398,44597,6,6
0031038,0.9638171539637579,0.9301612718746426,0.9848859177445138,0.9436309206098721,40662,624,2429,41286,43091,6,6
0033038,0.9602804190793424,0.9235955893309492,0.9904126552950105,0.9319275296947828,24793,240,1811,25033,26604,6,6
0036039,0.9574574371852512,0.918386904607734,0.9747903780068728,0.9407301284092116,35458,917,2234,36375,37692,6,6
0037039,0.9574221291764506,0.9183219363942255,0.9923176167018531,0.924897512981689,33842,262,2748,34104,36590,6,6
0041039,0.968079032938665,0.938132922810478,0.9882427467376156,0.9487216911138681,39001,464,2108,39465,41109,6,6
0042039,0.9646171236297679,0.9316525757229542,0.9798921170690024,0.949811047264068,36695,753,1939,37448,38634,6,6
0043039,0.9673882106209273,0.9368363024429873,0.9921644542772862,0.9438192394259156,32289,255,1922,32544,34211,6,6
0044039,0.9714628227244817,0.9445091963498877,0.9770621967357741,0.9659272610983516,33225,780,1172,34005,34397,6,6
0048040,0.9660326568200333,0.934297067689778,0.9866155404427724,0.9462910276871834,27274,370,1548,27644,28822,6,6
0050040,0.969731027612455,0.9412406406505678,0.9861547653063875,0.9538453807693275,37964,533,1837,38497,39801,6,6
0052041,0.9590092361427113,0.9212466329568546,0.977314884443776,0.9413767293623392,38989,905,2428,39894,41417,6,6
0053041,0.9655695810423605,0.9334311552973588,0.9787120474740181,0.9527754004156987,31171,678,1545,31849,32716,6,6
0057041,0.9704616000801042,0.9426181676716592,0.9831038979857991,0.9581403231273302,33922,583,1482,34505,35404,6,6
0062042,0.9580982493799585,0.9195667910239991,0.974249306825556,0.9424739620487944,33029,873,2016,33902,35045,6,6
0066043,0.9693643554662338,0.94055,0.986185745366851,0.9531071871912447,37622,527,1851,38149,39473,6,6
0070043,0.9714121945976929,0.944413485650599,0.9844326333827075,0.9587316852407083,33895,536,1459,34431,35354,6,6
0072043,0.9568690095846646,0.9173047473200613,0.9933133625762277,0.9230042747788051,37138,250,3098,37388,40236,6,6
0074044,0.9640389382001467,0.930574491405352,0.9794046480220584,0.949147920927062,34810,732,1865,35542,36675,6,6
0079045,0.9765602006098351,0.9541940827313302,0.9814477389431837,0.971721100229605,41475,784,1207,42259,42682,6,6
0081046,0.9656029838375466,0.9334935897435898,0.9652296390400177,0.9659766175617036,34950,1259,1231,36209,36181,6,6
0085047,0.9472862671132646,0.8998517237118497,0.9475944178784035,0.9469783166997172,29130,1611,1631,30741,30761,6,6
0087048,0.9663946231397024,0.9349744542498839,0.976443838108231,0.9565501470107808,32208,777,1463,32985,33671,6,6
0089049,0.9626995822461368,0.9280817454317962,0.9615685850865584,0.9638332430969139,35604,1423,1336,37027,36940,6,6
0096052,0.9597583152460843,0.9226301246264027,0.9615350709647087,0.9579881137102204,32722,1309,1435,34031,34157,6,6
0097053,0.9421690477243576,0.8906612589634771,0.9635199927628008,0.9217438338381653,42603,1613,3617,44216,46220,6,6
0098053,0.9665161280893293,0.9352019459214843,0.9792974766022983,0.9540641140317974,33065,699,1592,33764,34657,6,6
0099053,0.9728682642755327,0.9471699008397779,0.9805737020482342,0.965282982375553,39927,791,1436,40718,41363,6,6
0102120,0.9567024899385255,0.9169987282746926,0.9642506909155746,0.9492715464279445,10816,401,578,11217,11394,6,6
0105121,0.9655997606939875,0.9334875650665124,0.9430717863105176,0.9892303651168899,11298,682,123,11980,11421,6,6
0109122,0.966574516210103,0.9353112840466926,0.9466910471903791,0.9873111339298811,13461,758,173,14219,13634,6,6
0111122,0.9543714789489528,0.9127251789092704,0.9168732440918856,0.9950677069321137,11096,1006,55,12102,11151,6,6
0118123,0.9530715333224703,0.9103501945525292,0.921610336405893,0.9867566427667651,11698,995,157,12693,11855,6,6
0134125,0.9628958563100678,0.9284466388150399,0.9424055512721665,0.9842969882428733,12223,747,195,12970,12418,6,6
0140125,0.9609408615002152,0.9248182571086776,0.9309003334568359,0.9929848829167078,10050,746,71,10796,10121,6,6
0144125,0.9652324241260084,0.9328011880452942,0.9371503170458784,0.995049504950495,10050,674,50,10724,10100,6,6
0145125,0.9461454677477914,0.897795130914102,0.9045121480910143,0.9917963464140731,11727,1238,97,12965,11824,6,6
0147125,0.9562719711909458,0.9162080013143843,0.924946093879582,0.9897941072062478,11153,905,115,12058,11268,6,6
0156125,0.9495843500558335,0.90400818962123,0.9259557993224714,0.9744503862150921,11480,918,301,12398,11781,6,6
0163126,0.9624607479303454,0.927637914431146,0.9467846110643078,0.9786647314949202,13486,758,294,14244,13780,6,6
0164126,0.9651183327446132,0.9325881047870979,0.9506784968684759,0.9800035868005739,10929,567,223,11496,11152,6,6
0166126,0.9692156362709023,0.940270021912773,0.9523877711749122,0.986648865153538,13302,665,180,13967,13482,6,6
0168126,0.9700653051979917,0.9418706934467087,0.9568098890460943,0.9836931557188792,12849,580,213,13429,13062,6,6
0171126,0.9639304372718814,0.9303723147060855,0.9445963952591346,0.9840724775334259,13469,790,218,14259,13687,6,6
0181126,0.956524894759762,0.9166724629616749,0.931509754028838,0.9829206443914081,13179,969,229,14148,13408,6,6
0185127,0.9671203179573649,0.9363339552238806,0.9542861670099826,0.9803043867502238,12045,577,242,12622,12287,6,6
0190127,0.9502282303370787,0.9051760180617109,0.9357710926694329,0.9651390870185449,10825,743,391,11568,11216,6,6
0197127,0.9478173607626693,0.9008106819265618,0.9153610079147149,0.9826599618519161,11334,1048,200,12382,11534,6,6
0198127,0.9576264172804767,0.9186978959904724,0.948520370522174,0.9669089997493105,11571,628,396,12199,11967,6,6
0203127,0.9739458220924646,0.9492148105460309,0.9849017116376411,0.9632309941520468,13177,202,503,13379,13680,6,6
0207127,0.9641427011285039,0.9307678791073625,0.9782086795937212,0.950475506908308,15891,354,828,16245,16719,6,6
0222128,0.9747518972562755,0.9507473309608541,0.9851758979275758,0.9645461766192505,13358,201,491,13559,13849,6,6
0226128,0.974621018565832,0.9504983388704319,0.9840914953994324,0.9653310839308309,11444,185,411,11629,11855,6,6
0229128,0.9681818181818181,0.9383259911894273,0.994854338188727,0.9429021608643458,12567,65,761,12632,13328,6,6
0233128,0.9649402390438248,0.9322555812163202,0.992401102585115,0.9389582011700853,13321,102,866,13423,14187,6,6
0239128,0.9531231362570076,0.9104443600455754,0.9876400791034937,0.9209373799462159,11986,150,1029,12136,13015,6,6
